title,author,category,collection,source_url,rights_status,review_status,recommended_use,next_action
History of the Baptists,Thomas Armitage,Baptist History,Baptist History Collection,https://archive.org/search?query=%22History+of+the+Baptists%22+Armitage,Needs exact source review,Needs Review,Strong Baptist history candidate if source is clean.,Verify edition and stage as library book.
A Short History of the Baptists,Henry C. Vedder,Baptist History,Baptist History Collection,https://archive.org/search?query=%22A+Short+History+of+the+Baptists%22+Vedder,Needs exact source review,Needs Review,Useful overview; verify edition and reuse terms.,"Add to acquisition queue, not public library."
The Baptist Encyclopaedia,William Cathcart,Baptist History,Baptist History Collection,https://archive.org/search?query=%22Baptist+Encyclopaedia%22+Cathcart,Needs exact source review,Needs Review,Important Baptist reference but large and old; needs careful metadata.,Verify source and build entry/chunk plan.
The Trail of Blood,J. M. Carroll,Baptist History,Baptist History Collection,https://archive.org/search?query=%22Trail+of+Blood%22+Carroll,Rights and doctrinal review required,Needs Review,"Requested theme fit, but must be labeled and rights-checked before import.",Do not import until edition and rights are documented.
Memoir of William Carey,Eustace Carey,Missions,Missions Collection,https://archive.org/search?query=%22Memoir+of+William+Carey%22+Eustace+Carey,Needs exact source review,Needs Review,Missions biography candidate.,Verify exact text source and duplicate status.
Life of William Carey,George Smith,Missions,Missions Collection,https://www.gutenberg.org/ebooks/search/?query=william+carey+george+smith,Candidate only; exact ebook required,Needs Review,Useful missions biography if not already represented.,Choose exact ebook/source and validate.
Memoirs of the Life and Labours of Robert Morrison,Eliza A. Morrison,Missions,Missions Collection,https://archive.org/search?query=%22Robert+Morrison%22+missionary+memoirs,Needs exact source review,Needs Review,Missions biography candidate.,"Verify edition, source text quality, and rights."
The Life of David Brainerd,Jonathan Edwards,Missions,Missions Collection,https://www.gutenberg.org/ebooks/search/?query=David+Brainerd,Candidate only; exact ebook required,Needs Review,High-value missionary/devotional biography; avoid duplicate edition.,"Audit existing missions shelf, then select exact source."
Hudson Taylor and the China Inland Mission,Dr. and Mrs. Howard Taylor,Missions,Missions Collection,https://archive.org/search?query=%22Hudson+Taylor+and+the+China+Inland+Mission%22,Needs exact source review,Needs Review,Useful if rights/source and duplicate status are clean.,Review edition before candidate import.
The Life of John Bunyan,Edmund Venables,Biographies,Classics Collection,https://www.gutenberg.org/ebooks/search/?query=John+Bunyan+life,Candidate only; exact ebook required,Needs Review,Biography support for Bunyan collection.,Pick exact non-duplicate source.
A History of Preaching,Edwin Charles Dargan,Preaching & Teaching,Preaching Collection,https://archive.org/search?query=%22A+History+of+Preaching%22+Dargan,Needs exact source review,Needs Review,Teaching/preaching background resource.,Verify source and stage if rights are clear.
Homiletics and Pastoral Theology,William G. T. Shedd,Preaching & Teaching,Preaching Collection,https://archive.org/search?query=%22Homiletics+and+Pastoral+Theology%22+Shedd,Needs exact source review,Needs Review,Preaching/teaching helps candidate.,Review doctrinal notes and edition before import.
The Training of the Twelve,A. B. Bruce,Bible study helps,Teaching Collection,https://archive.org/search?query=%22The+Training+of+the+Twelve%22+Bruce,Needs exact source review,Needs Review,Potential discipleship/teaching resource.,Verify source and labels before import.
The Life and Times of Jesus the Messiah,Alfred Edersheim,Bible handbooks,Bible Tools,https://archive.org/search?query=%22Life+and+Times+of+Jesus+the+Messiah%22+Edersheim,Needs exact source review,Needs Review,Background resource; useful but must be labeled carefully.,"Review edition, rights, and category fit."
Sketches of Jewish Social Life,Alfred Edersheim,Bible handbooks,Bible Tools,https://archive.org/search?query=%22Sketches+of+Jewish+Social+Life%22+Edersheim,Needs exact source review,Needs Review,Bible background resource.,Verify source and duplicate status.
Manners and Customs of Bible Lands,Fred H. Wight,Bible handbooks,Bible Tools,https://archive.org/search?query=%22Manners+and+Customs+of+Bible+Lands%22,Likely copyrighted modern editions; permission likely needed,Permission Needed,Useful but likely not public-domain; track only.,Do not import publicly without written permission.
Matthew Poole's Commentary / English Annotations,Matthew Poole,Commentaries,Poole Commentary,https://archive.org/search?query=%22Matthew+Poole%22+commentary,Needs exact source and edition review,Needs Review,Candidate commentary voice only; avoid modern edited copies and unclear sites.,"Find original public-domain source, document edition, and stage one sample chapter."
The Pulpit Commentary - Isaiah volume,Various,Commentaries,Pulpit Commentary,https://archive.org/search?query=%22Pulpit+Commentary%22+Isaiah,Needs exact volume review,Needs Review,Potential teaching comparison for prophetic books; large and verbose.,Verify exact source and test parser on Isaiah 53 only.
The Biblical Illustrator - Isaiah volume,Joseph S. Exell and contributors,Commentaries,Biblical Illustrator,https://archive.org/search?query=%22Biblical+Illustrator%22+Isaiah,Needs exact volume review,Needs Review,"Potential illustration source for preaching, not primary commentary.",Verify exact volume and stage a small reviewed sample.
The Treasury of Scripture Knowledge expansion audit,R. A. Torrey / TSK tradition,Cross References,Bible Tools,https://archive.org/search?query=%22Treasury+of+Scripture+Knowledge%22,Needs exact edition review,Needs Review,High-value cross-reference tool; expand only from clean source data.,Compare available source structures and import reviewed samples by passage.
Foxe's Acts and Monuments full edition review,John Foxe,Martyrs / Persecuted Church,Persecuted Church Collection,https://archive.org/search?query=%22Acts+and+Monuments%22+Foxe,Needs exact edition review,Needs Review,Use only if materially different from existing Foxe public-domain text and source is clean.,Audit existing Foxe card before any expansion.
Martyrs Mirror edition review,Thieleman J. van Braght,Martyrs / Persecuted Church,Persecuted Church Collection,https://www.gutenberg.org/ebooks/65855,Likely verified via Project Gutenberg if not already imported,Needs Review,Important martyr history resource; confirm existing import and avoid duplicate cards.,Audit current Library and merge metadata rather than duplicate.
Baptist History of the English Baptists,Joseph Ivimey,Baptist History,Baptist History Collection,https://archive.org/search?query=%22History+of+the+English+Baptists%22+Ivimey,Needs exact source review,Needs Review,Strong Baptist history candidate if edition and source are clean.,Choose exact volume and stage metadata first.
A History of the Welsh Baptists,Jonathan Davis,Baptist History,Baptist History Collection,https://archive.org/search?query=%22History+of+the+Welsh+Baptists%22,Needs exact source review,Needs Review,Possible Baptist history addition after source review.,"Verify author, edition, and source text quality."
Which Bible? / modern KJV defense placeholder,Various modern authors,KJV / Textual Issues,KJV Defense Collection,Admin permission tracker only,Likely copyrighted modern editions; permission required,Permission Needed,"Track modern KJV-defense resources for possible permission requests, not public import.",Keep in permission tracker until written rights exist.
Dean Burgon textual criticism works audit,John William Burgon,KJV / Textual Issues,KJV Defense Collection,https://archive.org/search?query=%22John+William+Burgon%22+textual,Needs exact source review,Needs Review,Potential public-domain textual issue material; review edition and fit carefully.,Choose exact title and verify before import.
