author_or_ministry,profile_file,resource_type,known_contact,website,copyright_status,theology_fit,collection_label,primary_audience,verse_by_verse,topical,audio_available,video_available,public_api_rss,mobile_friendly,embed_allowed,ai_summary_allowed,license_obtained,expiration_date,priority,permission_needed,notes,date_sent,request_type,status
C. I. Scofield,data/library/acquisition/author-profiles/c-i-scofield.md,Study Bible notes and dispensational helps,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Theology; Prophecy; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,1917 materials may be public-domain candidates; later editions and notes require review.,,,Needs Review
John R. Rice,data/library/acquisition/author-profiles/john-r-rice.md,Evangelism revival and preaching,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Baptist History; Theology; Christian Living,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Modern copyrighted works require permission.,,,Needs Review
Oliver B. Greene,data/library/acquisition/author-profiles/oliver-b-greene.md,Bible preaching and radio teaching,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Theology; Prophecy; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,"Text, sermon transcripts, and audio rights must be reviewed separately.",,,Needs Review
Clarence Larkin,data/library/acquisition/author-profiles/clarence-larkin.md,Dispensational charts and prophecy,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,Text and chart/image rights must be verified separately.,,,Needs Review
John Phillips,data/library/acquisition/author-profiles/john-phillips.md,Commentary and expository outlines,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Theology; Prophecy; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Modern copyrighted works require permission.,,,Needs Review
Ronald T. Meeks,data/library/acquisition/author-profiles/ronald-t-meeks.md,Baptist doctrine and teaching,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Baptist History; Theology; Christian Living,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,"Needs contact, theology, and rights verification.",,,Needs Review
J. Vernon McGee / Thru the Bible,data/library/acquisition/author-profiles/j-vernon-mcgee-thru-the-bible.md,Bible teaching transcripts and audio,info@ttb.org,https://ttb.org/,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; New Believer; Serious Bible Student,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Initial permission email sent manually by Stephen. No permission granted yet.,2026-07-03,Limited listing/link/excerpt/audio-video inquiry,Permission Requested
Alexander Maclaren,data/library/acquisition/author-profiles/alexander-maclaren.md,Expository sermons and commentary,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Preaching; Devotional; Sunday School,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,Many works are public-domain candidates; verify source and edition.,,,Needs Review
Leonard Ravenhill,data/library/acquisition/author-profiles/leonard-ravenhill.md,Revival prayer and preaching,"VoiceOfLifeMinistries@gmail.com (bounced - no such user); alternate to verify: sermonindex@gmail.com",https://www.ravenhill.org/,Unknown - verify,Needs Review,Needs Review,Pastor; Preaching; Devotional; Sunday School,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,"Modern copyrighted works require permission. Contact route identified from Ravenhill.org ordering/media page, but message bounced 2026-07-04: Gmail reported account does not exist. OnePlace lists SermonIndex as contact for SermonIndex Classics - Leonard Ravenhill; verify whether they can answer listing/embed/audio questions and whether separate estate/publisher permission is needed.",2026-07-04,Limited listing/link/excerpt/audio-video inquiry,Bounced - Alternate Contact Needed
Arno C. Gaebelein,data/library/acquisition/author-profiles/arno-c-gaebelein.md,Dispensational commentary and prophecy,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Theology; Prophecy; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,Public-domain candidates exist; verify edition and source quality.,,,Needs Review
Harold L. Willmington,data/library/acquisition/author-profiles/harold-l-willmington.md,Bible handbook and survey,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Modern copyrighted works require permission.,,,Needs Review
John Goetsch,data/library/acquisition/author-profiles/john-goetsch.md,Christian living youth and ministry helps,"john.goetsch@wcbc.edu (blocked/bounced); info@strivingtogether.com (blocked/bounced)",https://wcbc.edu/academics/faculty/dr-john-goetsch,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Baptist History; Theology; Christian Living,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,"Initial permission email to john.goetsch@wcbc.edu bounced/blocked 2026-07-04. Alternate email to info@strivingtogether.com also bounced/blocked 2026-07-04. No permission granted yet. Use contact form, phone, postal mail, or a different sender/domain after email deliverability review.",2026-07-04,Limited listing/link/excerpt/audio-video inquiry,Bounced - Manual Contact Needed
Dr. David H. Sorenson,data/library/acquisition/author-profiles/dr-david-h-sorenson.md,KJV doctrine commentary and preaching,dhs.northstar@charter.net,https://northstarministries.com/,Permission Granted - scoped,Needs Review,Approved With Permission Pending Review,Pastor; Sunday School; Theology; Prophecy; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,High,No,"Permission reply received 2026-07-04 from Dr. David Sorenson / Northstar Ministries: links to northstarministries.com resources permitted, excerpts permitted, cover graphics permitted, no licensing required. No permission granted yet for hosting full copyrighted books, audio/video files, AI/TTS narration, or paid subscription inclusion unless separately confirmed. Theological/resource review still required before public recommendation.",2026-07-04,Limited listing/link/excerpt/cover-graphics inquiry,Permission Granted - Scoped
David Cloud / Way of Life Literature,data/library/acquisition/author-profiles/david-cloud-way-of-life-literature.md,KJV Baptist doctrine apologetics and church issues,fbns@wayoflife.org; support@wayoflife.org,https://www.wayoflife.org/,Shareable policy documented - title/category review required,Needs Review,Shareable With Citation - Needs Review,Pastor; Sunday School; Serious Bible Student,Unknown,Yes,Yes - shareable audio sermons per public policy,Yes - free eVideos only per public policy,Unknown,Unknown,Unknown - verify per item,Unknown,No,,High,"Yes for Store/paid items; review shareable categories item by item","Public sharing policy documented 2026-07-04. Shareable categories named by Way of Life include audio sermons, O Timothy magazine, FBIS articles, free eVideos, free eBooks, and reports with proper credit/citation and preferably an original source link. Store items, Fundamental Baptist Digital Library, print books, paid ebooks, and paid videos are not shareable and remain permission-needed. Initial permission email was also sent manually by Stephen; no direct reply yet.",2026-07-03,Limited listing/link/excerpt/audio-video inquiry,Sharing Policy Documented - Review Per Item
Christian Focus Publications,data/library/acquisition/author-profiles/christian-focus-publications.md,Publisher: biographies theology missions and Christian living,info@christianfocus.com,https://www.christianfocus.com/,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Initial permission email sent manually by Stephen. No permission granted yet.,2026-07-03,Limited listing/link/excerpt/audio-video inquiry,Permission Requested
Kregel Publications,data/library/acquisition/author-profiles/kregel-publications.md,Publisher: Bible study commentaries ministry resources and reprints,kregelbooks@kregel.com,https://www.kregel.com/,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Initial permission email sent manually by Stephen. No permission granted yet.,2026-07-03,Limited listing/link/excerpt/audio-video inquiry,Permission Requested
Noel Smith / Baptist Bible Tribune,data/library/acquisition/author-profiles/noel-smith-baptist-bible-tribune.md,Baptist history journalism and church issues,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Baptist History; Sunday School,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,Photo review 2026-07-04 identified Baptist Bible Fellowship / Baptist Bible Tribune material. No permission granted.,,,Needs Review
Ernest Pickering,data/library/acquisition/author-profiles/ernest-pickering.md,New Evangelicalism separation and Baptist/fundamentalist history,BJU Press / rights holder TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Baptist History; Discernment; Theology,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,Photo review 2026-07-04 identified The Tragedy of Compromise. Modern copyrighted title; no permission granted.,,,Needs Review
John Ashbrook,data/library/acquisition/author-profiles/john-ashbrook.md,New Evangelicalism separation and discernment,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Discernment; Theology; Church History,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,Photo review 2026-07-04 identified New Neutralism II. Verify edition and rights holder; no permission granted.,,,Needs Review
Frank Garlock,data/library/acquisition/author-profiles/frank-garlock.md,Church music worship and Christian living,Majesty Music / rights holder TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Worship; Music; Christian Living,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,Photo review 2026-07-04 identified church music teaching/quote material. No permission granted.,,,Needs Review
Gordon Sears,data/library/acquisition/author-profiles/gordon-sears.md,Church music hymn resources and ministry history,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Worship; Music; Church History,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,Photo review 2026-07-04 identified Songfest / Great Hymns in Brass related material. No permission granted.,,,Needs Review
Victor Sears,data/library/acquisition/author-profiles/victor-sears.md,Baptist history church issues and music concerns,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Baptist History; Worship; Church Issues,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,Medium,Yes,Photo review 2026-07-04 identified Baptist Bible Tribune quote material. Verify source issue and rights; no permission granted.,,,Needs Review
The KJV Store,data/library/acquisition/author-profiles/the-kjv-store.md,Retailer discovery source and possible affiliate/outbound-link partner,info@thekjvstore.com,https://www.thekjvstore.com/christian-books/,Not a content rights source,Needs Review,Needs Review,Pastor; Sunday School; KJV Study; Bible Study; Christian Living,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,,Medium,Yes,"Discovery source only. Retail product listings do not grant text, cover image, audio, video, excerpt, or app distribution rights. Use to identify title/publisher permission targets and possible outbound purchase links.",,,Needs Review
