"author","title","category","priority","lane","library_status","possible_matches","rights_review","next_action"
"E. M. Bounds","Reality of Prayer","Prayer","high","likely-existing-check","possible_match","The Reality of Prayer — Edward M. Bounds","Needs source proof","Review exact source and edition before import."
"E. M. Bounds","Weapon of Prayer","Prayer","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"William Burkitt","Expository Notes on the New Testament","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"E. W. Bullinger","Companion Bible Notes and Appendixes","Study Bible / Commentary","medium","mixed-review","not_found","","Needs source proof","Review exact source and edition before import."
"E. W. Bullinger","Figures of Speech Used in the Bible","Bible Study / Hermeneutics","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"David Brown","Commentary Critical and Explanatory on the Whole Bible","Commentary","high","already-commentary-priority","not_found","","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"David Brown","Great Preaching of the Faith sermons","Preaching","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","An Interpretation of the English Bible","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","Baptists and their Doctrines","Baptist Doctrine","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","Christ and His Church","Ecclesiology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","Jesus the Christ","Christology","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","The Way of the Cross","Salvation / Christian Living","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","Ecclesia: The Church","Baptist Doctrine","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","The Faith that Saves","Salvation","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","The Holy Spirit","Doctrine","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","The Providence of God","Doctrine","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","Messages on Prayer","Prayer","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","Revival Messages","Revival","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","The Seven Churches of Asia","Commentary / Revelation","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","The Three Baptisms","Baptist Doctrine","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","The Inspiration of Scripture","Bibliology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"B. H. Carroll","Sermons and Life Sketch","Biography / Preaching","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","The Kingdom in History and Prophecy","Dispensational Theology","high","public-domain-candidate","possible_match","The Kingdom in History and Prophecy — Lewis Sperry Chafer","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","Salvation: A Clear Doctrinal Analysis","Salvation","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","He That Is Spiritual","Christian Living","high","public-domain-candidate","possible_match","He That Is Spiritual — Lewis Sperry Chafer","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","True Evangelism: Winning Souls by Prayer","Evangelism","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","Satan: His Motive and Methods","Doctrine","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","Grace: The Glorious Theme","Grace / Theology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","Major Bible Themes","Theology","high","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"Lewis Sperry Chafer","The Ephesian Letter Doctrinally Considered","Commentary","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"Lewis Sperry Chafer","The Crowns of the Lord Jesus Christ","Prophecy / Rewards","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"Adam Clarke","Adam Clarke Commentary on the Bible","Commentary","high","already-commentary-priority","possible_match","The Expositor's Bible: The Book of Isaiah, Volume 1 — George Adam Smith || The Expositor's Bible: The Book of Isaiah, Volume 2 — George Adam Smith || The Expositor's Bible: The Book of the Twelve Prophets, Vol. 1 — George Adam Smith || The Expositor's Bible: The Book of the Twelve Prophets, Vol. 2 — George Adam Smith","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Thomas Coke","A Commentary on the Holy Bible","Commentary","medium","public-domain-candidate","possible_match","Medica Sacra Or, A Commentary on the Most Remarkable Diseases Mentioned in the Holy Scriptures — Richard Mead and Thomas Stack","Needs source proof","Review exact source and edition before import."
"Robert Couric","King James 2000","Bible Version","low","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"David W. Daniels","King James Bible Companion Dictionary","KJV / Dictionary","high","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"John Nelson Darby","Chapter Synopses","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"John Nelson Darby","Darby Bible Translation","Bible Version","low","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Keil and Delitzsch","Commentary on the Old Testament","Commentary","high","public-domain-candidate","possible_match","Notes on the New Testament, Explanatory and Practical: Revelation — Albert Barnes and Robert Frew || Christology of the Old Testament: And a Commentary on the Messianic Predictions. Vol. 2 — Ernst Wilhelm Hengstenberg and Theodore Meyer","Needs source proof","Review exact source and edition before import."
"M. G. Easton","Easton Bible Dictionary","Dictionary","high","likely-existing-check","possible_match","Easton's Bible Dictionary — M. G. Easton","Needs source proof","Review exact source and edition before import."
"M. G. Easton","Maps and Illustrations from Easton Bible Dictionary","Maps / Images","medium","public-domain-candidate","possible_match","Easton's Bible Dictionary — M. G. Easton","Needs source proof","Review exact source and edition before import."
"Alfred Edersheim","Sketches of Jewish Social Life","Background","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Alfred Edersheim","The Temple: Its Ministry and Services","Background","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Jonathan Edwards","Notes on Scripture","Commentary / Theology","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Justin Edwards","Family Bible Notes","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Charles J. Ellicott","Bible Commentary for English Readers","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Joseph S. Exell","Biblical Illustrator","Commentary / Illustrations","high","already-commentary-priority","not_found","","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Joseph S. Exell","Pulpit Commentary","Commentary","high","already-commentary-priority","not_found","","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Joseph S. Exell","Preachers Complete Homiletical Commentary","Homiletics / Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"A. R. Fausset","Fausset Bible Dictionary","Dictionary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Charles Finney","Systematic Theology","Theology","low","historical-use-carefully","not_found","","Public-domain candidate but doctrinal caution","Review theology label before import; likely historical/use-carefully."
"A. C. Gaebelein","The Annotated Bible","Commentary","high","public-domain-candidate","possible_match","the annotated bible : the holy scriptures analyzed and annotated — arno c. gaebelein || The annotated Bible : the Holy Scriptures analyzed and annotated. — Gaebelein, Arno Clemens, 1861-1945 || The annotated Bible; the Holy Scriptures analysed and annotated — Gaebelein, Arno Clemens, 1861-1945 || The annotated Bible; the Holy Scriptures analyzed and annotated — Gaebelein, Arno Clemens, 1861-1945 || The annotated Bible; the Holy Scriptures analysed and annotated — A. C. Gaebelein","Needs source proof","Review exact source and edition before import."
"John Gill","Exposition of the Entire Bible","Commentary","high","already-commentary-priority","not_found","","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"William Godbey","Commentary on the New Testament","Commentary","low","historical-use-carefully","not_found","","Public-domain candidate but doctrinal caution","Review theology label before import; likely historical/use-carefully."
"F. W. Grant","Expository notes from the Numerical Bible","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"James M. Gray","Concise Bible Commentary","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"I. M. Haldeman","How to Study the Bible and Second Coming Expositions","Bible Study / Prophecy","medium","public-domain-candidate","possible_match","Why I Preach the Second Coming — Isaac Massey Haldeman","Needs source proof","Review exact source and edition before import."
"James Hastings","Dictionary of the Bible","Dictionary","high","public-domain-candidate","possible_match","The American Church Dictionary and Cyclopedia — William James 1850- Miller","Needs source proof","Review exact source and edition before import."
"James Hastings","Great Texts of the Bible","Preaching / Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Matthew Henry","Whole Bible Commentary","Commentary","high","already-commentary-priority","not_found","","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Matthew Henry","Concise Bible Commentary","Commentary","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Roswell Hitchcock","Bible Names Dictionary","Dictionary","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"F. B. Hole","New Testament Commentary","Commentary","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"F. B. Hole","Writings of F. B. Hole","Bible Study","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"Thomas Holland","Crowned With Glory","KJV Defense","medium","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"J. L. Hurlbut","Maps from Historical Geography of the Bible","Maps / Geography","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Barton W. Johnson","People New Testament Commentary","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"William Kelly","Bible Commentary compiled from lectures and expository notes","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Peter Lange","Commentary on the Holy Scriptures","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Clarence Larkin","100+ Illustrations","Charts / Prophecy","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Clarence Larkin","Commentary on Daniel","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Clarence Larkin","Commentary on Revelation","Commentary","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"Clarence Larkin","Dispensational Truth","Dispensational Theology","high","likely-existing-check","possible_match","Dispensational Truth: or, God's Plan and Purpose in the Ages — Clarence Larkin || Dispensational truth : or, God's plan and purpose in the ages — Clarence Larkin","Needs source proof","Review exact source and edition before import."
"Clarence Larkin","Rightly Dividing the Word","Dispensational Theology","high","likely-existing-check","possible_match","Rightly Dividing the Word — Clarence Larkin","Needs source proof","Review exact source and edition before import."
"Robert Lee","Handfuls on Purpose","Preaching / Outlines","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"John Lightfoot","Gospel Commentaries From the Talmud and Hebraica","Commentary / Background","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"C. H. Mackintosh","Notes on the Pentateuch","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"C. H. Mackintosh","Miscellaneous Writings","Christian Living / Doctrine","high","public-domain-candidate","possible_match","Elijah the Tishbite. Miscellaneous Writings of C. H. Mackintosh, vol. V — Mackintosh, Charles Henry || Life and Times of David. Miscellaneous Writings of C. H. Mackintosh, vol. VI — Mackintosh, Charles Henry || The All-Sufficiency of Christ. Miscellaneous Writings of C. H. Mackintosh, vol. I — Mackintosh, Charles Henry || The Assembly of God. Miscellaneous Writings of C. H. Mackintosh, vol. III — Mackintosh, Charles Henry || The Great Commission. Miscellaneous Writings of C. H. Mackintosh, vol. IV — Mackintosh, Charles Henry","Needs source proof","Review exact source and edition before import."
"Alexander MacLaren","Expositions of Holy Scripture","Commentary / Preaching","high","likely-existing-check","possible_match","Expositions of Holy Scripture : St. Matthew Chaps. IX to XXVIII — Maclaren, Alexander || Expositions of Holy Scripture / Deuteronomy, Joshua, Judges, Ruth, and First Book of Samuel, Second Samuel, First Kings, and Second Kings chapters I to VII — Maclaren, Alexander || Expositions of Holy Scripture / Ephesians; Epistles of St. Peter and St. John — Maclaren, Alexander || Expositions of Holy Scripture / Ezekiel, Daniel, and the Minor Prophets. St. Matthew Chapters I to VIII — Maclaren, Alexander || Expositions of Holy Scripture / Second Corinthians, Galatians, and Philippians Chapters / I to End. Colossians, Thessalonians, and First Timothy. — Maclaren, Alexander","Needs source proof","Review exact source and edition before import."
"McClintock and Strong","Cyclopedia","Bible Encyclopedia","high","public-domain-candidate","possible_match","The American Church Dictionary and Cyclopedia — William James 1850- Miller","Needs source proof","Review exact source and edition before import."
"John W. McGarvey","Four-Fold Gospel","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"John W. McGarvey","Commentary on Acts","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"F. B. Meyer","Through the Bible Day by Day","Devotional Commentary","high","likely-existing-check","possible_match","Through the Bible day by day : a devotional commentary — Meyer, F. B. (Frederick Brotherton), 1847-1929","Needs source proof","Review exact source and edition before import."
"Andrew Miller","Miller Church History","Church History","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"George H. Morrison","Great Preaching of the Faith sermons","Preaching","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"American Tract Society","Dictionary of the Holy Bible","Dictionary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Multiple Authors","The Fundamentals","Theology / Apologetics","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"Multiple Authors","Geneva Bible Footnotes","Study Bible Notes","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Multiple Authors","International Standard Bible Encyclopedia","Bible Encyclopedia","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"Multiple Authors","King James Bible with Strongs Lexicon Links","Bible Tools","high","needs-data-license-review","not_found","","Needs data/license review","Do not import until source license and data format are verified."
"Multiple Authors","Outlines of the Books of the Bible","Bible Survey","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"Multiple Authors","Textus Receptus Scrivener Greek New Testament","Original Language Tools","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Orville J. Nave","Nave Topical Bible","Topical Bible","high","likely-existing-check","possible_match","Nave's Topical Bible — Orville J. Nave","Needs source proof","Review exact source and edition before import."
"William Newell","Romans Verse by Verse","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Joseph Parker","People Bible Commentary","Commentary / Preaching","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Matthew Poole","English Annotations on the Holy Bible","Commentary","high","already-commentary-priority","not_found","","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Noah Porter","Webster Revised Unabridged Dictionary 1913","Dictionary","low","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"A. T. Robertson","New Testament Word Pictures","Greek / Commentary","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"J. C. Ryle","Expository Thoughts on the Gospels","Commentary","high","likely-existing-check","possible_match","Expository Thoughts on the Gospels — J. C. Ryle || Expository Thoughts on the Gospels: St. Mark — J. C. Ryle || Expository thoughts on the Gospels, with the text complete — John Charles Ryle || Expository Thoughts on the Gospels: For Family and Private Use. With the Text Complete — John Charles Ryle || Expository thoughts on the Gospels — Ryle, J. C. (John Charles), 1816-1900","Needs source proof","Review exact source and edition before import."
"C. I. Scofield","Scofield Reference Bible Notes","Study Bible Notes","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"Hamilton Smith","Expository Bible Commentary","Commentary","medium","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"James Smith","Handfuls on Purpose","Preaching / Outlines","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"William Smith","Smith Bible Dictionary","Dictionary","high","likely-existing-check","possible_match","Smith's Comprehensive Dictionary of the Bible — William Smith; Samuel W. Barnum, editor","Needs source proof","Review exact source and edition before import."
"Joseph Sutcliffe","Commentary on the Old and New Testaments","Commentary","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"C. H. Spurgeon","Park Street and Metropolitan Tabernacle Pulpit","Sermons","high","source-review","possible_match","Sermons on our Lord's parables : delivered at the Metropolitan Tabernacle and New Park Street Chapel — Spurgeon, C. H. (Charles Haddon), 1834-1892 || Spurgeon's Sermons - New Park Street Pulpit, Vol. I — Spurgeon, C. H. (Charles Haddon), 1834-1892 || Spurgeon's Sermons - Vol. IX: Metropolitan Tabernacle Pulpit — Spurgeon, C. H. (Charles Haddon), 1834-1892 || The Metropolitan Tabernacle pulpit : sermons — Spurgeon, C. H. (Charles Haddon), 1834-1892 || The Metropolitan Tabernacle pulpit : sermons — C. H. Spurgeon","Needs source proof","Review exact source and edition before import."
"C. H. Spurgeon","Morning and Evening","Devotional","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"C. H. Spurgeon","Treasury of David","Commentary","high","already-commentary-priority","possible_match","The Treasury of David, Volume 1 — C. H. Spurgeon || The Treasury of David, Volume 2 — C. H. Spurgeon || The Treasury of David, Volume 3 — C. H. Spurgeon || The treasury of David — Spurgeon, C. H. (Charles Haddon), 1834-1892 || The treasury of David : containing an original exposition of the book of Psalms ; a collection of illustrative extracts from the whole range of literature ; a series of homiletical hints upon almost every verse, and lists of writers upon each psalm — Spurgeon, C. H. (Charles Haddon), 1834-1892","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Douglas Stauffer","One Book Rightly Divided","KJV / Dispensational","high","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"James Strong","Hebrew and Greek Dictionaries","Strong’s / Lexicon","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"Frank C. Thompson","Thompson Chain Topics","Cross References","high","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"R. A. Torrey","New Topical Textbook","Topical Bible","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"A. W. Tozer","The Pursuit of God","Christian Living","medium","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"A. W. Tozer","Knowledge of the Holy","Theology","medium","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"John Trapp","Commentary on the Old and New Testaments","Commentary","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"James Ussher","Annals of the World","Chronology / History","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Richard Watson","Biblical and Theological Dictionary","Dictionary / Theology","medium","public-domain-candidate","possible_match","A Biblical and Theological Dictionary — Richard Watson","Needs source proof","Review exact source and edition before import."
"John Wesley","Notes on the Whole Bible","Commentary","high","already-commentary-priority","not_found","","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Noah Webster","Webster 1828 Dictionary","Dictionary","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"George Whitefield","Great Preaching of the Faith sermons","Preaching","high","source-review","not_found","","Needs source proof","Review exact source and edition before import."
"William Aldis Wright","The Bible Word-Book","KJV Dictionary / Word Study","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
